F1	2584807909
F0	471942016
f1	372057920
f2	12632256
f3	1967680
f4	888896
f5	634496
f6	589184
f7	633408
f8	727488
f9	860608
f10	1001088
f11	1205824
f12	1395776
f13	1653568
f14	1943936
f15	2240000
f16	2598336
f17	2910272
f18	3241344
f19	3515008
f20	3757952
f21	3952704
f22	4108800
f23	4163264
f24	4111936
f25	4024000
f26	3898816
f27	3660608
f28	3459648
f29	3176192
f30	2873856
f31	2564992
f32	2283456
f33	1976640
f34	1705024
f35	1454720
f36	1236544
f37	1031744
f38	865408
f39	708288
f40	589056
f41	476288
f42	381376
f43	318208
f44	252480
f45	208576
f46	171712
f47	138944
f48	113408
f49	94464
f50	80384
f51	71552
f52	60288
f53	57536
f54	46592
f55	43520
f56	42880
f57	35264
f58	34304
f59	32960
f60	27712
f61	31232
f62	27008
f63	26368
f64	23424
